sigla;codcls_mat;codmat;consumo_medio;desvio_padrao
EAC;15;90471;872.875;326.47275836817033
EAC;15;90472;360.7916666666667;347.05217990917464
EAC;15;90473;276.7083333333333;201.09623029927667
EAC;15;90474;59.416666666666664;45.4158722174898
EAC;15;90476;239.58333333333334;449.1249382353729
EAC;15;90477;125.95833333333333;282.7577668431849
EAC;15;90478;1.1428571428571428;4.525062483125562
EAC;15;90479;8.25;53.319586090568684
EAC;15;90480;-3.0;
EAC;15;90481;0.0;1.0
EAC;15;90482;0.0;
EAC;15;90483;13.333333333333334;23.115651263447745
EAC;15;90486;9.875;252.1482159883091
EAC;15;90487;75.75;246.76696452849743
EAC;15;90488;11.3;134.96475173365198
EAC;15;90490;1401.7083333333333;1166.0708263658128
EAC;15;90491;4.333333333333333;77.42579430130766
EAC;15;90492;522.75;468.70888805220073
EAC;15;90493;5410.541666666667;2068.1762808385524
EAC;15;90587;20.130434782608695;39.30568354440971
EAC;15;90588;20.304347826086957;43.87009209287296
EAC;15;90646;89.19047619047619;198.90817455489832
EAC;15;90787;20.045454545454547;29.233831139911906
EAC;15;90790;119.20833333333333;280.5334947322096
EAC;15;90791;1047.375;781.4846969210204
EAC;15;90792;19.08695652173913;33.40646785970734
EAC;15;90793;44.77777777777778;118.3181915194973
EAC;15;90794;49.82608695652174;209.80372909718025
EAC;15;90795;19.708333333333332;99.49370929061693
EAC;15;90796;23.157894736842106;56.14887270847696
EAC;15;90797;407.0;483.4603531247193
EAC;15;90798;90.70833333333333;210.34805094469473
EAC;15;90799;38.47826086956522;54.39156816775037
EAC;15;90820;10.666666666666666;46.376179230290205
EAC;15;90821;17.90909090909091;95.30248040089393
EAC;15;90823;188.875;228.97452155586902
EAC;15;90826;1.0;6.954396908692829
EAC;15;90828;0.0;20.0
EAC;15;90830;4.0;0.0
EAC;15;90887;3.6666666666666665;10.768118728560758
EAC;15;90888;8.263157894736842;30.448211232377215
EAC;15;90911;96.375;106.9891552813933
EAC;15;90924;1.0;
EAC;15;91213;1.875;7.120142454433659
EAC;15;91550;0.0;2.8284271247461903
EAC;15;91845;97.16666666666667;82.01996928991645
EAC;15;91847;685.25;341.0694497682509
EAC;15;91849;74.66666666666667;109.09781543795151
EAC;15;92012;33.0;24.814091368308905
EAC;15;92013;4.916666666666667;30.89412516477801
EAC;15;92172;148.76470588235293;135.10529662626328
EAC;15;92223;324.3333333333333;181.70397170489514
EAC;15;503792;-1.7916666666666667;31.04411890907165
EAC;15;509511;-3.0;3.4641016151377544
EAC;15;509512;-30.75;216.44610568607297
EAC;15;509513;0.0;0.0
EAC;15;509524;0.0;0.0
EAC;15;522506;-2.1666666666666665;6.2742861479746574
EAC;15;522507;83.5;307.3815077462335
EAC;15;522528;3.272727272727273;16.6223653642624
EAC;15;522545;0.2222222222222222;20.535200131589768
EAC;15;532862;0.0;0.0
EAC;15;590340;510.6666666666667;400.3103868214031
EAC;15;590342;-6.0;10.039920318408907
EAC;15;590346;0.0;0.0
EAC;15;590353;545.2916666666666;798.1711421126734
EAC;15;590355;-0.5;1.5811388300841898
EAC;15;590460;-1.9523809523809523;12.411592123801807
EAC;15;590461;70.33333333333333;115.81381860430191
EAC;15;590471;-1.8421052631578947;5.166808147468661
EAC;15;590472;-14.333333333333334;99.27453517057297
EAC;15;590473;0.0;
EAC;15;590474;31.304347826086957;281.83948281095434
EAC;15;590477;0.0;0.0
EAC;15;590487;0.0;
EAC;15;590490;123.08333333333333;395.46042693974107
EAC;15;590790;-1.3;9.189970378382922
EAC;15;590791;259.4166666666667;469.1879123564985
EAC;15;590797;483.5;441.6480006993568
EAC;15;592172;-1.0;6.1759903774906535
EAC;15;615892;208.33333333333334;317.562198632016
EAC;17;8642;3.3333333333333335;4.041451884327381
EAC;17;721102;3.0;1.4142135623730951
EAC;17;721103;2.0;
EAC;17;721104;4.0;2.8284271247461903
EAC;17;721106;1.0;
EAC;17;742910;2.5;1.0
EAC;17;753438;1.5714285714285714;0.7867957924694432
EAC;17;753440;1.0;
EAC;17;753442;3.0;
EAC;17;753444;1.0;
EAC;17;753450;3.5;3.271085446759225
EAC;17;753452;6.0;
EAC;17;753454;2.0;
EAC;17;763840;1.0;
EAC;17;763942;1.0;
EAC;17;764038;1.0;0.6324555320336759
EAC;17;764040;0.6666666666666666;0.5773502691896258
EAC;17;764042;1.3333333333333333;0.5773502691896258
EAC;17;764044;0.75;0.9574271077563381
EAC;17;764046;1.0;0.0
EAC;17;764048;1.0;0.0
EAC;17;764050;1.3333333333333333;1.1547005383792517
EAC;17;764134;1.0;0.0
EAC;17;764136;1.6;0.5477225575051662
EAC;17;764138;1.8333333333333333;1.1690451944500122
EAC;17;764140;1.25;0.9574271077563381
EAC;17;764142;2.0;1.0
EAC;17;764144;0.25;0.5
EAC;17;764146;1.0;0.0
EAC;17;764148;0.0;
EAC;17;764152;2.0;
EAC;17;765001;1.0;
EAC;17;765002;1.8;1.52127765851133
EAC;17;765003;1.625;0.7187952884282609
EAC;17;765004;1.8571428571428572;1.2149857925879117
EAC;17;765006;1.0;
EAC;17;765008;1.3333333333333333;0.5773502691896258
EAC;17;765102;2.5454545454545454;1.6949121725703877
EAC;17;765103;2.0;0.9258200997725514
EAC;17;765104;1.0;0.7071067811865476
EAC;17;765105;1.1428571428571428;2.1157009420498154
EAC;17;765108;1.0;0.0
EAC;17;778502;4.722222222222222;4.026464739775277
EAC;17;778503;4.421052631578948;2.8346230294870325
EAC;17;778504;2.8;5.181162460726786
EAC;17;778505;1.4285714285714286;2.0701966780270626
EAC;17;778506;1.0;
EAC;17;778510;2.1666666666666665;2.7141603981096374
EAC;17;778836;1.6666666666666667;0.816496580927726
EAC;17;778837;1.0;
EAC;17;778838;1.0;
EAC;17;778840;1.6666666666666667;0.5773502691896257
EAC;17;778842;2.5;2.1213203435596424
EAC;19;7277;200.34782608695653;190.68551184313262
EAC;19;9522;1.6;2.5099800796022267
EAC;19;9567;0.0;0.0
